,precision,recall,f1-score,support
nv,0.9446009389671362,0.9314814814814815,0.937995337995338,1080.0
mel,0.5371900826446281,0.5284552845528455,0.5327868852459017,123.0
bkl,0.7111111111111111,0.6620689655172414,0.6857142857142857,145.0
bcc,0.7592592592592593,0.6307692307692307,0.6890756302521008,65.0
akiec,0.3875,0.6739130434782609,0.49206349206349204,46.0
vasc,0.8095238095238095,0.85,0.8292682926829268,20.0
df,0.6111111111111112,0.7333333333333333,0.6666666666666666,15.0
accuracy,0.8480589022757697,0.8480589022757697,0.8480589022757697,0.8480589022757697
macro avg,0.6800423303738652,0.7157173341617705,0.6905100843743874,1494.0
weighted avg,0.8580244311043522,0.8480589022757697,0.8514099904978233,1494.0
